#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-07-23T20:37:43 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d376ff99188	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/423/2966&tab:{J/MNRAS/423/2966/stars}&key:source=J/MNRAS/423/2966&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/423/2966/stars
#-order=I
#-out=[IHA2007]
#-out=RAJ2000
#-out=DEJ2000
#-out=Per
#-out=Vmag
#-out=Icmag
#-out=Kmag
#-out=SNR
#-out=RV
#-out=l_vsini
#-out=vsini
#-out=Mm
#-out=logL
#-out=amp
#-out=tc
#-out=logR
#-out=W(Ca)1
#-out=W(Ca)2
#-out=logR'1
#-out=Mass
#-out=I07
#
#
#RESOURCE=yCat_74232966
#Name: J/MNRAS/423/2966
#Title: Low-mass stars spectroscopy in NGC 2516 (Jackson+, 2012)
#Table	J_MNRAS_423_2966_stars:
#Name: J/MNRAS/423/2966/stars
#Title: Velocity data, chromospheric activity indices  and related data for targets in NGC 2516
#Column	[IHA2007]	(A8)	Identification number, N-N-NNNN, <[IHA2007] 2516-N-N-NNNN> in Simbad	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Per	(F6.3)	? Modulation period	[ucd=time.period]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Icmag	(F5.2)	Cousins C magnitude	[ucd=phot.mag;em.opt.I]
#Column	Kmag	(F5.2)	? CIT K magnitude (1)	[ucd=phot.mag;em.IR.K]
#Column	SNR	(I2)	Signal-to-noise ratio	[ucd=stat.snr]
#Column	RV	(F6.2)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	l_vsini	(A1)	Limit flag on vsini	[ucd=meta.code.error;phys.veloc.rotat]
#Column	vsini	(F5.1)	Rotational velocity	[ucd=phys.veloc.rotat]
#Column	Mm	(A1)	[*] * for non-members	[ucd=meta.note]
#Column	logL	(F5.2)	Luminosity	[ucd=phys.luminosity]
#Column	amp	(F6.3)	? sine amplitude (light curve amplitude)	[ucd=src.var.amplitude]
#Column	tc	(I3)	Convective turn-over time {tau}_c_	[ucd=em.freq;src.var]
#Column	logR	(F5.2)	? Rossby number	[ucd=stat.param]
#Column	W(Ca)1	(F5.2)	Ca 8498{AA} equivalent width	[ucd=spect.line.eqWidth]
#Column	W(Ca)2	(F5.2)	Ca 8542{AA} equivalent width	[ucd=spect.line.eqWidth]
#Column	logR'1	(F5.2)	? Activity index from Ca8488	[ucd=stat.param]
#Column	Mass	(F5.2)	Mass	[ucd=phys.mass]
#Column	I07	(I3)	Display the data from Irwin et al., 2007, Cat. J/MNRAS/377/741 [NULL integer written as an empty string]	[ucd=meta.ref.url]
#[IHA2007]	RAJ2000	DEJ2000	Per	Vmag	Icmag	Kmag	SNR	RV	l_vsini	vsini	Mm	logL	amp	tc	logR	W(Ca)1	W(Ca)2	logR'1	Mass	I07
# 	"h:m:s"	"d:m:s"	d	mag	mag	mag	 	km/s	 	km/s	 	[Lsun]	mag	d	[-]	0.1nm	0.1nm	[-]	Msun	
#--------	-----------	------------	------	-----	-----	-----	--	------	-	-----	-	-----	------	---	-----	-----	-----	-----	-----	---
1-1-1470	07 57 08.92	-61 29 18.60	 8.803	17.60	15.45	13.47	26	  0.56	<	  8.0	 	-1.23	 0.016	 52	-0.77	 0.45	 0.50	-4.47	 0.57	  1
1-1-1667	07 57 16.58	-61 31 38.70	 1.347	15.82	14.50	12.72	44	  0.16	 	 22.0	 	-0.88	 0.010	 35	-1.41	 0.42	 0.59	-4.49	 0.70	  1
1-1-1880	07 57 24.78	-61 25 56.57	      	18.92	16.46	14.24	14	  2.82	<	  8.0	*	-1.62	      	 81	     	 0.07	 0.01	-5.27	 0.43	  0
1-1-194 	07 56 22.57	-61 27 01.49	      	19.53	16.62	13.99	13	 30.38	<	  8.0	*	-1.63	      	 82	     	 0.08	 0.02	-5.25	 0.40	  0
1-1-1949	07 57 28.44	-61 30 08.22	      	20.51	17.68	15.40	 5	 10.00	 	 16.8	*	-2.06	      	135	     	 0.10	 0.03	-5.17	 0.25	  0
1-1-2241	07 57 37.82	-61 26 53.31	      	20.17	17.24	14.92	 7	  0.10	 	 20.9	 	-1.87	      	108	     	 0.34	 0.22	-4.65	 0.31	  0
1-1-2403	07 57 43.35	-61 30 44.59	      	20.11	17.24	15.00	 7	  3.42	 	 20.6	 	-1.88	      	110	     	 0.16	 0.13	-4.96	 0.31	  0
1-1-2490	07 57 47.14	-61 30 37.50	 0.968	19.76	16.94	14.69	10	  1.43	 	 25.6	 	-1.77	 0.018	 96	-2.00	 0.29	 0.28	-4.70	 0.35	  1
1-1-251 	07 56 24.19	-61 27 25.90	      	18.25	15.93	13.94	20	  5.97	<	  8.0	*	-1.41	      	 64	     	-0.03	 0.00	     	 0.50	  0
1-1-2695	07 57 56.09	-61 32 28.57	      	20.44	17.52	14.95	 6	  2.24	 	 44.7	 	-1.98	      	123	     	 0.41	 0.52	-4.56	 0.27	  0
1-1-2698	07 57 56.15	-61 29 38.17	      	17.92	15.51	13.35	25	 13.60	<	  8.0	*	-1.24	      	 52	     	 0.05	 0.05	-5.42	 0.56	  0
1-1-3201	07 58 16.47	-61 31 20.67	      	16.83	14.79	12.77	33	 12.87	<	  8.0	*	-0.97	      	 39	     	 0.08	 0.09	-5.24	 0.66	  0
1-1-3254	07 58 19.38	-61 32 50.38	      	17.12	15.15	13.15	25	  0.52	<	  8.0	 	-1.12	      	 46	     	 0.26	 0.38	-4.70	 0.61	  0
1-1-3264	07 58 20.21	-61 33 53.80	 1.320	19.43	16.72	14.32	11	  2.50	 	 24.1	 	-1.70	 0.016	 89	-1.83	 0.63	 0.50	-4.35	 0.39	  1
1-1-3449	07 58 25.36	-61 29 01.88	      	18.96	16.41	14.22	12	 19.28	<	  8.0	*	-1.59	      	 79	     	 0.00	-0.03	-6.66	 0.43	  0
1-1-351 	07 56 28.22	-61 27 46.60	 2.318	18.84	16.31	14.17	16	  1.40	 	 14.4	 	-1.55	 0.016	 75	-1.51	 0.49	 0.46	-4.45	 0.45	  1
1-1-3651	07 58 32.96	-61 32 35.29	      	18.26	16.04	13.82	15	 10.19	<	  8.0	*	-1.46	      	 68	     	 0.06	 0.03	-5.32	 0.49	  0
1-1-3695	07 58 34.29	-61 27 08.00	 9.606	16.91	14.94	12.97	33	  1.77	<	  8.0	*	-1.04	 0.015	 42	-0.64	 0.31	 0.37	-4.62	 0.64	  1
1-1-3971	07 58 43.53	-61 33 40.48	      	19.47	16.60	14.18	10	 16.60	<	  8.0	*	-1.63	      	 82	     	 0.11	-0.05	-5.11	 0.41	  0
1-1-958 	07 56 49.99	-61 32 19.90	 6.291	18.36	15.95	13.63	19	  1.06	<	  8.0	 	-1.41	 0.015	 64	-1.01	 0.41	 0.47	-4.52	 0.50	  1
